用例编号,模块,测试场景,前置条件,测试数据,操作步骤,预期结果,优先级,用例类型,覆盖点,实际结果,是否通过,缺陷ID,备注
EXP-012,专家申请与资料,无专家角色访问资料管理,普通投标人登录,用户:<测试账号>;角色:<投标人>;专家角色:无,尝试进入专家资料入口,入口不可见或拒绝访问,P1,异常,权限控制,,,,
EXP-013,专家申请与资料,省市未选提交拦截,专家申请页可用,专家账号:<专家账号A>;省市:未选;姓名:<姓名>;身份证:<身份证号>;手机:<手机号>;单位:<工作单位>;专业:<专业类别>;证书:<证件附件1>;签名:已绘制,填写除省市外完整信息并点击提交,提示需选择所在地区并拦截提交,P0,边界,省市必选,,,,
EXP-014,专家申请与资料,省市选择后回显正确,专家申请页可用,专家账号:<专家账号A>;省市:<省市区名称>;姓名:<姓名>;身份证:<身份证号>;手机:<手机号>;单位:<工作单位>;专业:<专业类别>;证书:<证件附件1>;签名:已绘制,点击省市进入选择器并选择后返回页面,所选省市区在表单项中正确回显,P1,正向,地区选择,,,,
EXP-015,专家申请与资料,身份证号格式非法拦截,专家申请页可用,专家账号:<专家账号A>;省市:<省市区名称>;姓名:<姓名>;身份证:<非法身份证号>;手机:<手机号>;单位:<工作单位>;专业:<专业类别>;证书:<证件附件1>;签名:已绘制,输入非法身份证号后提交,字段高亮并提示身份证格式错误且拦截,P0,边界,身份证校验,,,,
EXP-016,专家申请与资料,手机号格式非法拦截,专家申请页可用,专家账号:<专家账号A>;省市:<省市区名称>;姓名:<姓名>;身份证:<身份证号>;手机:<非法手机号>;单位:<工作单位>;专业:<专业类别>;证书:<证件附件1>;签名:已绘制,输入非法手机号后提交,字段高亮并提示手机号格式错误且拦截,P0,边界,手机校验,,,,
EXP-017,专家申请与资料,姓名未填提交拦截,专家申请页可用,专家账号:<专家账号A>;省市:<省市区名称>;姓名:空;身份证:<身份证号>;手机:<手机号>;单位:<工作单位>;专业:<专业类别>;证书:<证件附件1>;签名:已绘制,姓名留空其余完整后提交,提示姓名必填并拦截,P1,边界,姓名必填,,,,
EXP-018,专家申请与资料,工作单位未填提交拦截,专家申请页可用,专家账号:<专家账号A>;省市:<省市区名称>;姓名:<姓名>;身份证:<身份证号>;手机:<手机号>;单位:空;专业:<专业类别>;证书:<证件附件1>;签名:已绘制,工作单位留空其余完整后提交,提示工作单位必填并拦截,P1,边界,单位必填,,,,
EXP-019,专家申请与资料,专业类别必选与下拉选择,专家申请页可用,专家账号:<专家账号A>;省市:<省市区名称>;姓名:<姓名>;身份证:<身份证号>;手机:<手机号>;单位:<工作单位>;专业:未选;证书:<证件附件1>;签名:已绘制,未选专业类别直接提交,提示需选择专业类别并拦截,P0,边界,专业类别必选,,,,
EXP-020,专家申请与资料,专业类别说明文案展示,专家申请页可用,专家账号:<专家账号A>,进入专家申请页查看专业类别区域下方说明,展示与证书专业保持一致的提示文案,P2,正向,提示展示,,,,
EXP-021,专家申请与资料,专家证书未上传提交拦截,专家申请页可用,专家账号:<专家账号A>;省市:<省市区名称>;姓名:<姓名>;身份证:<身份证号>;手机:<手机号>;单位:<工作单位>;专业:<专业类别>;证书:未上传;签名:已绘制,不上传证书其余完整后提交,提示需上传专家证书并拦截,P0,边界,证书必填,,,,
EXP-022,专家申请与资料,专家证书上传成功可更换,专家申请页可用,专家账号:<专家账号A>;证书:<证件附件1>,点击上传证书选择合法图片或文件,上传成功并可再次更换上传文件,P1,正向,证书上传,,,,
EXP-023,专家申请与资料,手写签名区为空提交拦截,专家申请页可用,专家账号:<专家账号A>;省市:<省市区名称>;姓名:<姓名>;身份证:<身份证号>;手机:<手机号>;单位:<工作单位>;专业:<专业类别>;证书:<证件附件1>;签名:未绘制,完成其余项未在签名区绘制直接提交,提示需完成手写签名并拦截,P0,边界,签名必填,,,,
EXP-024,专家申请与资料,手写签名绘制后提交成功,专家申请页可用,专家账号:<专家账号A>;省市:<省市区名称>;姓名:<姓名>;身份证:<身份证号>;手机:<手机号>;单位:<工作单位>;专业:<专业类别>;证书:<证件附件1>;签名:已绘制,在签名区完成绘制后提交完整申请,提交成功进入待审核或成功提示,P0,正向,手写签名,,,,
EXP-025,专家申请与资料,重新签字清空签名区,专家申请页已绘制签名,专家账号:<专家账号A>,点击重新签字,签名区被清空可重新绘制,P1,正向,重新签字,,,,
EXP-026,专家申请与资料,申请页返回未保存数据提示,专家申请页已修改未提交,专家账号:<专家账号A>,修改任意字段后点击左上角返回,按产品规则提示是否放弃编辑或直接拦截,P2,边界,返回确认,,,,
PUB-001,招标发布,新建项目成功,项目经理已登录,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,公告发布完整填写后新建,项目发布成功并在公告可见,P0,正向,发布主流程,,,,
PUB-002,招标发布,未选招标方提交,新建项目页可用,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,缺失招标方提交,提示招标方必选,P0,边界,必填校验,,,,
PUB-003,招标发布,未选招标方式提交,新建项目页可用,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,缺失招标方式提交,提示招标方式必选,P0,边界,必填校验,,,,
PUB-004,招标发布,费用项独立填写与保存,新建项目页可用,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,分别填写文件费与平台使用费后保存并重新进入编辑页,两项金额可独立保存且回显正确互不覆盖,P0,正向,费用录入,,,,
PUB-005,招标发布,文件费为0边界,新建项目页可用,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:0;平台费:<平台使用费金额>,文件费输入0提交,系统按产品规则明确处理并给出对应结果（允许通过或提示最小值限制）,P2,边界,金额边界,,,,
PUB-006,招标发布,平台使用费负数,新建项目页可用,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:-1,输入负数提交,字段高亮并提示金额非法且禁止提交,P1,异常,金额合法性,,,,
PUB-007,招标发布,开标时间在过去,新建项目页可用,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,设置过去时间提交,提示开标时间无效,P1,边界,时间边界,,,,
PUB-008,招标发布,获取文件开始晚于结束,新建项目页可用,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,设置开始时间晚于结束提交,提示时间区间非法,P1,边界,时序校验,,,,
PUB-009,招标发布,获取采购文件需审核=是,发布时配置为是,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,投标人报名后查看状态,进入待审核流程,P0,正向,流程分支A,,,,
PUB-010,招标发布,获取采购文件需审核=否,发布时配置为否,项目:<项目ID>;招标方式:公开招标;是否审核:否;文件费:<文件费金额>;平台费:<平台使用费金额>,投标人报名后查看状态,直接进入待缴费,P0,正向,流程分支B,,,,
PUB-011,招标发布,公开报名信息=是,发布时选择公开,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,查看项目详情报名信息,报名单位信息可见,P1,正向,展示分支,,,,
PUB-012,招标发布,公开报名信息=否,发布时选择不公开,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,查看项目详情报名信息,报名单位信息隐藏,P1,正向,展示分支,,,,
PUB-013,招标发布,报价方法一情况1 n=5,评审表格可编辑,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,设置n=5并保存,保存成功,P1,正向,评分配置,,,,
PUB-014,招标发布,报价方法一情况1 n=3,评审表格可编辑,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,设置n=3并保存,提示n必须大于3,P1,边界,评分边界,,,,
PUB-015,招标发布,报价方法一情况2,评审表格可编辑,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,选择平均值策略保存,保存成功,P1,正向,评分分支,,,,
PUB-016,招标发布,报价方法二,评审表格可编辑,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,选择最低价基准策略保存,保存成功,P1,正向,评分分支,,,,
PUB-017,招标发布,报价方法三手工录入,评审表格可编辑,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,选择手工录入策略保存,后续由组长手工录分,P1,正向,评分分支,,,,
PUB-018,招标发布,最低价中标触发流程变更,发布项目勾选最低价中标,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,进入开评标观察流程,流程按最低价规则展示,P0,正向,流程分支C,,,,
PUB-019,招标发布,发布后公告可检索,项目已发布,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,公告页关键字检索,可命中新发布项目,P2,正向,发布结果验证,,,,
PUB-020,招标发布,评审表格保存回显,投标中项目可编辑评审表格,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,修改评分项后重进页面,内容正确回显,P1,正向,数据持久化,,,,
PUB-021,招标发布,已到开标时间禁止改时间,项目已达开标时间,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,发布变更尝试改时间,系统拒绝修改,P0,异常,状态门禁,,,,
PUB-022,招标发布,招标方式映射评审流程,创建多种招标方式项目,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,开评标查看节点,流程与配置定义一致,P0,正向,流程映射,,,,
PUB-023,招标发布,费用汇总与下游展示一致,项目发布成功且投标人可报名,项目:<项目ID>;招标方式:公开招标;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>;应缴总额:<应缴总额>,发布项目后投标人进入报名缴费并完成支付后查看订单明细,应缴总额等于文件费加平台费且各页面分项与支付记录一致,P0,正向,费用联动,,,,
PUB-024,招标发布,不同招标方式可选并成功发布,新建项目页可用,项目A:<项目ID_A>;招标方式A:<招标方式A>;项目B:<项目ID_B>;招标方式B:<招标方式B>;项目C:<项目ID_C>;招标方式C:<招标方式C>;是否审核:是;文件费:<文件费金额>;平台费:<平台使用费金额>,分别选择多种不同招标方式并完成发布,各项目公告详情显示的招标方式与发布配置一致,P0,正向,招标方式覆盖,,,,
PUB-025,招标发布,切换招标方式后评审配置重置提示,已选择招标方式并编辑评审配置,项目:<项目ID>;初始方式:<招标方式A>;目标方式:<招标方式B>;评分项:<评分项名称>,修改招标方式并确认切换,系统提示原评审配置将调整或重置并按目标方式加载配置,P1,边界,方式切换影响,,,,
PUB-026,招标发布,招标方式与流程节点匹配,已发布多种招标方式项目,项目A:<项目ID_A>;招标方式A:<招标方式A>;项目B:<项目ID_B>;招标方式B:<招标方式B>;项目C:<项目ID_C>;招标方式C:<招标方式C>,分别进入开评标流程查看节点,每种方式展示的流程节点与该方式规则一致,P0,正向,流程映射细化,,,,
PUB-027,招标发布,报名端展示招标方式一致性,项目已发布且可报名,项目:<项目ID>;招标方式:<招标方式>;投标人:<投标人账号>,投标人在公告列表和项目详情查看招标方式,报名端展示的招标方式与发布配置一致且无错配,P1,正向,前后端一致性,,,,
PUB-028,招标发布,公开招标全流程校验,存在可用公开招标配置模板,项目:<项目ID>;招标方式:公开招标;是否审核:<是否审核>;文件费:<文件费金额>;平台费:<平台使用费金额>;投标人A:<投标人账号A>;投标人B:<投标人账号B>,发布后由多家投标人报名缴费并提交文件再进入开评标,流程按公开招标规则推进且可正常完成评审定标,P0,正向,公开招标流程,,,,
PUB-029,招标发布,竞争性磋商进入磋商与二轮报价流程,项目支持竞争性磋商且专家已到位,项目:<项目ID>;招标方式:竞争性磋商;组长专家:<专家账号A>;投标人:<投标人账号>;二轮报价:<二轮报价金额>,完成首轮评审后由组长发起磋商并通知投标人回复二轮报价,系统生成磋商记录并进入二轮报价评审环节,P0,正向,磋商分支,,,,
PUB-030,招标发布,竞争性谈判进入谈判流程,项目支持竞争性谈判且专家已到位,项目:<项目ID>;招标方式:竞争性谈判;组长专家:<专家账号A>;投标人:<投标人账号>;谈判回复:<谈判回复内容>,完成首轮评审后发起谈判并由投标人回复,谈判过程留痕完整且后续评审按谈判流程推进,P0,正向,谈判分支,,,,
PUB-031,招标发布,询比采购按报价对比规则排序,项目支持询比采购方式,项目:<项目ID>;招标方式:询比采购;报价A:<投标报价金额A>;报价B:<投标报价金额B>;报价C:<投标报价金额C>,多家投标人提交报价后进入评审查看排序与推荐结果,系统按询比规则完成报价对比并输出候选顺序,P1,正向,询比采购流程,,,,
PUB-032,招标发布,单一来源限制唯一供应商,项目支持单一来源方式并已指定供应商,项目:<项目ID>;招标方式:单一来源;指定供应商:<供应商名称>;其他供应商:<供应商名称_其他>,发布后用指定与非指定供应商账号分别尝试参与,仅指定供应商可参与且流程不出现多家比选节点,P0,正向,单一来源流程,,,,
PUB-033,招标发布,不同招标方式必填项动态变化,新建项目页可切换多种招标方式,项目:<项目ID>;方式A:<招标方式A>;方式B:<招标方式B>;字段A:<方式A必填字段>;字段B:<方式B必填字段>,切换方式并尝试在缺失对应必填项时提交,系统按当前方式校验必填项并给出对应提示,P1,边界,动态校验,,,,
PUB-034,招标发布,方式切换后历史方式数据不串用,已按方式A填写完整并未提交,项目:<项目ID>;初始方式:<招标方式A>;目标方式:<招标方式B>;方式A字段:<方式A专有字段>,切换至方式B并保存后重新进入编辑页核对字段,仅保留目标方式有效字段且不错误沿用初始方式专有配置,P1,异常,数据隔离,,,,
PUB-035,招标发布,按招标方式统计与检索准确,已存在多种招标方式项目数据,项目A:<项目ID_A>;方式A:<招标方式A>;项目B:<项目ID_B>;方式B:<招标方式B>;项目C:<项目ID_C>;方式C:<招标方式C>,在公告列表按招标方式筛选并关键字检索,筛选结果数量与项目明细均与实际方式一致,P1,正向,检索筛选,,,,
PUB-036,招标发布,谈判采购全流程校验,项目支持谈判采购且专家与投标人已到位,项目:<项目ID>;招标方式:谈判采购;组长专家:<专家账号A>;投标人:<投标人账号>;谈判回复:<谈判回复内容>,发布后完成报名投标开标并按谈判采购规则完成谈判与二轮报价直至定标,流程节点与需求规格说明书4.5.9一致且可闭环完成,P0,正向,谈判采购流程,,,,
PUB-037,招标发布,竞价采购全流程校验,项目支持竞价采购且多家投标人可报价,项目:<项目ID>;招标方式:竞价采购;投标人A:<投标人账号A>;投标人B:<投标人账号B>;竞价报价A:<投标报价金额A>;竞价报价B:<投标报价金额B>,发布后进入竞价阶段按规则报价与锁定直至截止并生成排序与候选人,竞价过程可追溯且结果与规则一致,P0,正向,竞价采购流程,,,,
PUB-038,招标发布,招标方式选择器与v1.4列明方式一致,新建项目页招标方式弹窗可用,期望枚举:公开招标;询比采购;谈判采购;竞争性磋商;竞争性谈判;竞价采购;单一来源,打开招标方式选择器逐项核对名称,与需求规格说明书4.5.9列明方式一致且均可选中,P0,正向,招标方式枚举,,,,
PUB-039,招标发布,v1.4列明招标方式均可保存回显,新建项目页可用,方式列表:公开招标;询比采购;谈判采购;竞争性磋商;竞争性谈判;竞价采购;单一来源;项目:<项目ID>,依次选择每种列明方式保存草稿后重新进入编辑页,每次回显的招标方式与所选一致无串项,P0,正向,招标方式矩阵冒烟,,,,
REG-001,投标报名与审核,投标报名提交成功,项目在报名时间内,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,获取文件填信息上传并提交,报名记录生成,P0,正向,报名主流程,,,,
REG-002,投标报名与审核,报名缺失必填项,报名页可用,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,不填关键字段提交,提示必填并拦截,P1,边界,必填校验,,,,
REG-003,投标报名与审核,报名文件未上传,报名页可用,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,未上传文件直接提交,提示需上传报名文件,P1,边界,上传必填,,,,
REG-004,投标报名与审核,报名超出获取结束时间,项目已过获取结束时间,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,尝试报名提交,禁止报名并提示已截止,P0,异常,时间门禁,,,,
REG-005,投标报名与审核,我的报名显示待审核,项目需审核且已报名,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,进入我的报名列表,状态显示待审核,P1,正向,状态展示,,,,
REG-006,投标报名与审核,我的报名显示待缴费,报名审核通过,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,进入我的报名列表,状态显示待缴费,P1,正向,状态展示,,,,
REG-007,投标报名与审核,我的报名显示已完成,已完成全部缴费,投标人:<投标人账号>;报名附件:<报名文件名>;支付单号:<支付单号>;退款单号:<退款单号>,进入我的报名列表,状态显示已完成,P1,正向,状态展示,,,,
